Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
fi,zh,37,0.814306121,-0.613979125,0.150705765,-1.411973294,0.17377104,-1.097112372,0.307574441,1.291557273,0.560350662,0.590200479,0.104166686,0.6145,0.5687,0.6506,1
bg,cs,75.85,-2.948849201,1.092153523,0.157593488,2.821498253,-0.251983894,2.125277134,-1.157382288,0.845972432,0.862340733,-1.055766477,0.048156199,0.528,0.6162,0.4507,0.0523
bg,ru,71.42,-0.798416536,0.865000571,0.442444671,1.873754059,-0.251983894,1.470968199,-0.499150064,0.845972432,0.722845468,-2.104593978,-0.223928471,0.3837,0,0.345,0.1796
bg,no,66.92,0.301296653,0.300840858,0.15689392,1.241510192,-0.251983894,1.034476144,-0.840558589,0.845972432,0.802386498,0.053878439,0.11898638,0.7525,0.6162,0.6416,0.1054
bg,es,70.47,-0.613408078,0.813914965,0.158293055,1.136962251,-0.251983894,0.962297752,-1.487610089,0.845972432,0.913840346,0.354869848,-0.379578585,0.5017,0.3613,0.5933,0.1089
bg,ko,16.97,1.092509625,-2.949714514,0.14913508,1.089662201,-0.251983894,0.929642479,1.411236708,0.845972432,-0.578036446,0.590200479,0.326122606,0.605,0.5,0.5671,0.4068
bg,et,53.3,0.760956035,-0.453697316,0.157021114,0.749460668,-0.251983894,0.694772243,0.787207604,0.845972432,0.150394909,0.590200479,-0.332164532,0.6787,0.6162,0.6416,0.0902
bg,pl,69.42,-0.311785697,0.704718761,0.141821419,0.703254081,-0.251983894,0.662871881,0.801097958,0.845972432,0.139831334,-1.448332833,-0.204789929,0.4614,0,0.5078,0.0528
bg,nl,64.72,0.585005577,-0.071447576,0.15689392,0.504323909,-0.251983894,0.525533357,-0.337975443,0.845972432,0.678541113,0.28033711,-0.104652779,0.5386,0.6162,0.5097,0.0886
bg,pt,70.18,-0.453146461,0.760558157,0.158038667,0.525078257,-0.251983894,0.539861859,-1.07504565,0.845972432,0.84785635,0.387188656,-0.665109451,0.4385,0.6162,0.4276,0.119
