Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
am,ro,14.12,-0.080876632,0.62351786,0.000803536,0.414467563,0.760533578,-0.098071178,0.095899013,0.008683549,0.18027414,0.422132886,0.157383232,0.5012,0.4638,0.2991,0.2057
am,sk,10.62,0.5185225,0.094830555,0.000803536,0.491798613,0.760533578,-0.03481262,0.373326558,0.008683549,-1.060003176,0.422132886,-0.001674112,0.6193,0.5687,0.6597,0.2261
am,bg,13.06,0.156631645,0.473314016,0.000803536,0.527169226,0.760533578,-0.005878654,0.164845862,0.008683549,0.023199896,0.422132886,0.068506395,0.5544,0.4054,0.5282,0.1892
am,pt,11.85,0.315769081,0.336800294,0.000803536,0.585499152,0.760533578,0.041836553,-0.05503903,0.008683549,0.413999148,0.422132886,0.121224574,0.5769,0.5687,0.436,0.27
am,nl,8.61,0.741681352,-0.338984942,0.001205303,0.670041654,0.760533578,0.110994242,-0.004860522,0.008683549,0.348586379,0.422132886,0.059912115,0.5954,0.5687,0.5183,0.272
am,en,8.26,0.815030898,-0.557382873,0.002008839,0.815399084,0.760533578,0.229899927,-0.130261744,0.008683549,0.495753336,0.422132886,0.060804946,0.5425,0.4816,0.492,0.2912
am,it,1.1,1.029552309,-1.966563222,0.000803536,0.700347573,0.760533578,0.135785174,-0.02499702,0.008683549,0.376042022,0.422132886,0.099818079,0.5698,0.5687,0.4249,0.2169
am,ca,14.71,-0.252302205,0.70486833,0.002008839,0.817820435,0.760533578,0.231880647,-0.246718257,0.008683549,0.593870753,0.422132886,0.181931957,0.5132,0.4054,0.3561,0.2423
am,hi,10.66,0.487194654,0.138948285,0.000803536,0.816481051,0.760533578,0.230785,-0.641863324,0.008683549,0.782664307,0.422132886,0.010194815,0.5305,0.4477,0.498,0.21
am,pl,20.71,-1.474030455,0.981733063,0.001607071,0.841930331,0.760533578,0.251603091,0.361766802,0.008683549,-0.938733956,0.422132886,0.136955779,0.5449,0.4054,0.4542,0.242
am,de,3.06,0.94863918,-1.186871125,0.001607071,0.769254139,0.760533578,0.192152312,0.129885972,0.008683549,0.108283,0.422132886,0.010194815,0.5466,0.5096,0.5258,0.2403
am,fro,13.93,0.020289896,0.565820192,0.000401768,0.859741622,0.760533578,0.266173132,-0.49400374,0.008683549,0.730098594,0.422132886,0.14213974,0.7913,0.5687,0.6597,0.2597
am,es,15.65,-0.383284594,0.756007041,0.001607071,0.859823065,0.760533578,0.266239754,-0.229308782,0.008683549,0.580981575,0.422132886,0.097535232,0.5417,0.4477,0.4554,0.2545
am,fr,1.34,0.989831481,-1.510472583,0.002008839,0.807823214,0.760533578,0.223702693,-0.034282494,0.008683549,0.388141719,0.422132886,0.082119907,0.5572,0.5096,0.5052,0.2662
am,fi,6.51,0.883840368,-0.828655923,0.002008839,0.90108784,0.760533578,0.299995279,0.222124952,0.008683549,-0.148602222,0.422132886,0.082119907,0.5416,0.4816,0.4713,0.2996
am,grc,14.31,-0.192175941,0.678399863,0.000401768,0.835009394,0.760533578,0.245941607,-0.135490192,0.008683549,0.500826632,0.422132886,0.239457998,0.8371,0.5687,0.6597,0.1786
am,no,1.09,1.067903178,-2.746255319,0.001205303,0.950205759,0.760533578,0.340174854,-0.097727089,0.008683549,0.462503222,0.422132886,0.14064215,0.7906,0.5687,0.6597,0.2945
am,ar,11.5,0.352233495,0.299916402,0.000401768,0.939094508,0.760533578,0.331085598,-6.277992451,0.008683549,0.946228825,0.422132886,-0.001674112,0.6193,0.5687,0.6597,1
am,la,0,1.086593786,-3.525947416,0.000401768,0.888559778,0.760533578,0.28974704,-0.140499884,0.008683549,0.505621151,0.422132886,0.160188211,0.7993,0.5687,0.6597,0.213
am,et,1.63,0.969426046,-1.33707497,0.000803536,1.142902918,0.760533578,0.497805515,0.248667969,0.008683549,-0.246791375,0.422132886,0.095103426,0.7714,0.5687,0.6597,0.2747
am,ko,12.79,0.239044525,0.407126813,0.001607071,1.174253101,0.760533578,0.523450677,0.181922155,0.008683549,-0.023265612,0.422132886,0.060804946,0.5577,0.4638,0.5204,0.4539
am,ja,20.45,-1.302604883,0.961092889,0,1.705798409,0.760533578,0.958266832,-3.817461986,0.008683549,0.945576885,0.422132886,0.022841972,0.5481,0.5879,0.4998,0.4872
am,ru,8.94,0.716115514,-0.274689847,0.001607071,1.761815298,0.760533578,1.004089922,0.01571526,0.008683549,0.318677172,0.422132886,0.090076237,0.5513,0.4054,0.4949,0.2754
am,cs,9.79,0.607535191,-0.048963826,0.001607071,2.014510541,0.760533578,1.210800379,-0.136696721,0.008683549,0.501987243,0.422132886,-0.019691244,0.5489,0.5687,0.4653,0.2397
th,bxr,9.01,0.635690239,-0.101292234,0.009979353,-1.262667107,0.687384505,-1.427963218,0.594078182,1.433957179,-0.095913651,0.422132886,0.081393148,0.6266,0.5687,0.6372,0.2049
th,kmr,18.64,-0.703205751,0.851797477,0.004817619,-1.411374383,0.687384505,-1.549609153,0.336384322,1.433957179,0.409720388,0.422132886,0.315872499,0.604,0.427,0.5168,0.3102
th,hsb,18.47,-0.614193059,0.828603708,0.013076394,-1.522668683,0.687384505,-1.640650422,0.532677047,1.433957179,0.073553588,0.422132886,0.081393148,0.6266,0.5687,0.6372,0.4259
th,kk,17.53,-0.252302205,0.70486833,0.018238128,-1.154024756,0.687384505,-1.339091303,0.610158789,1.433957179,-0.149066027,0.422132886,0.393936425,0.9081,0.805,0.6372,0.2273
th,hy,11.36,0.578648763,0.001038092,0.009291122,-1.620394233,0.687384505,-1.720592145,0.538666368,1.433957179,0.058972455,0.422132886,0.21504993,0.635,0.5879,0.5531,0.3045
th,swl,6.29,0.7911146,-0.479775695,0,-2.356041951,0.687384505,-2.322368715,0.470083725,1.433957179,0.206800337,0.422132886,0.081393148,0.6266,0.5687,0.6372,0.4171
th,lt,13.36,0.421760194,0.222309224,0.002064694,-2.169620395,0.687384505,-2.169871641,0.557075778,1.433957179,0.011748621,0.422132886,0.267744172,0.5995,0.4638,0.4887,0.3934
th,be,3.6,0.905862176,-0.935866334,0.0110117,-1.880461018,0.687384505,-1.933332692,0.543622809,1.433957179,0.046624227,0.422132886,0.287672695,0.8759,0.5687,0.6372,0.3876
th,mr,15.32,0.239044525,0.407126813,0,-1.757804127,0.687384505,-1.832996565,0.518209078,1.433957179,0.107322955,0.422132886,0.39145646,0.6247,0.5687,0.3767,0.1297
th,cop,11.76,0.548991939,0.048911611,0,-1.687224999,0.687384505,-1.775261233,0.478168551,1.433957179,0.191325102,0.422132886,0.103657462,0.7974,0.5687,0.6372,0.3632
th,ta,19,-0.905959169,0.896797794,0.011355816,-1.575848971,0.687384505,-1.684153107,0.552921618,1.433957179,0.022737034,0.422132886,0.419777179,0.6815,0.5687,0.4792,0.1202
th,ga,21.88,-1.302604883,0.961092889,0.0110117,-1.19383975,0.687384505,-1.371660874,0.276368681,1.433957179,0.476974562,0.422132886,0.055135516,0.5778,0.5687,0.4984,0.4955
th,hu,13.12,0.454958629,0.181400792,0.021335169,-0.7849374,0.687384505,-1.037169449,0.429483918,1.433957179,0.278120196,0.422132886,0.130502974,0.544,0.4477,0.4546,0.4088
th,te,22.68,-1.474030455,0.981733063,0.000344116,-1.003873768,0.687384505,-1.216264379,0.267422647,1.433957179,0.486063138,0.422132886,0.433021217,0.5964,0.3498,0.4364,0.1183
th,af,7.34,0.766672628,-0.407179028,0.019958706,-0.733244548,0.687384505,-0.99488352,-0.040792995,1.433957179,0.701117416,0.422132886,0.283721702,0.6192,0.5687,0.4548,0.4341
