Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
ko,ru,15.6,-0.311785697,0.704718761,,1.873754059,1.130137247,0.49818125,-0.499150064,1.540972303,0.824316578,0.590200479,0.064868201,,,,0.2272
ko,no,15.32,-0.070944878,0.584585529,,1.241510192,1.130137247,0.061689195,-0.840558589,1.540972303,0.884358252,0.590200479,0.457009277,,,,0.3892
ko,es,12.19,0.86538529,-0.799010895,,1.136962251,1.130137247,-0.010489197,-1.487610089,1.540972303,0.970113633,0.590200479,0.359090239,,,,0.4956
ko,et,16.17,-0.613408078,0.813914965,,0.749460668,1.130137247,-0.278014707,0.787207604,1.540972303,0.423752799,0.590200479,0.216361108,,,,0.3622
ko,pl,14.86,0.301296653,0.300840858,,0.703254081,1.130137247,-0.309915069,0.801097958,1.540972303,0.416922355,0.590200479,0.292849961,,,,0.3976
ko,nl,14.58,0.451514869,0.129072545,,0.504323909,1.130137247,-0.447253592,-0.337975443,1.540972303,0.791306488,0.590200479,0.319927254,,,,0.4315
ko,pt,13.76,0.705123674,-0.312318741,,0.525078257,1.130137247,-0.43292509,-1.07504565,1.540972303,0.919119193,0.590200479,0.402276408,,,,0.4962
ko,la,13.92,0.646566728,-0.185851296,,0.338757432,1.130137247,-0.561558303,0.049408809,1.540972303,0.696414533,0.590200479,0.466872969,,,,0.4515
ko,fr,12.06,0.961450893,-1.285703049,,0.251315147,1.130137247,-0.621927196,-0.597421851,1.540972303,0.842884485,0.590200479,0.380097274,,,,0.4552
ko,de,17.39,-1.630317449,1.006379146,,0.130052999,1.130137247,-0.705644836,0.416645311,1.540972303,0.579766095,0.590200479,0.084778951,,,,0.4258
ko,hi,22.94,-2.948849201,1.092153523,,0.161022962,1.130137247,-0.684263619,-2.08567128,1.540972303,1.026400499,0.590200479,-0.177163484,,,,0.2488
ko,ca,12.69,0.814306121,-0.613979125,,0.149517012,1.130137247,-0.692207162,-1.636763242,1.540972303,0.985877592,0.590200479,0.499804957,,,,0.4773
ko,it,12.19,0.86538529,-0.799010895,,0.044203098,1.130137247,-0.76491437,-0.916818639,1.540972303,0.896184982,0.590200479,0.370274223,,,,0.4465
ko,en,16.31,-1.017235098,0.914000457,,0.123949994,1.130137247,-0.709858263,-1.059034404,1.540972303,0.916891979,0.590200479,0.218500866,,,,0.4405
ko,fi,17.88,-2.116948288,1.05003234,,0.034221368,1.130137247,-0.771805613,1.471043869,1.540972303,-0.051846193,0.590200479,0.155394513,,,,0.3414
ko,bg,14.06,0.520115216,0.032994838,,-0.363406583,1.130137247,-1.046322221,0.573460789,1.540972303,0.519370533,0.590200479,0.326122606,,,,0.4068
ko,sl,15.27,0.033484377,0.519686992,,-0.462645896,1.130137247,-1.114835612,0.939384218,1.540972303,0.34413372,0.590200479,0.30521972,,,,0.4283
ko,sk,14.9,0.218492836,0.378308417,,-0.427488318,1.130137247,-1.090563327,1.152921784,1.540972303,0.211415211,0.590200479,0.086859208,,,,0.4085
ko,ro,13.98,0.585005577,-0.071447576,,-0.534291076,1.130137247,-1.164298412,0.163514759,1.540972303,0.663397486,0.590200479,0.326122606,,,,0.3995
ko,hr,15.65,-0.453146461,0.760558157,,-0.686027734,1.130137247,-1.269055214,0.734470446,1.540972303,0.448954844,0.590200479,0.765901708,,,,0.4261
