Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
lo,nl,4,0.596101316,-0.03596899,0.003838772,0.632419405,-1.076338242,1.223009824,0.276828836,-0.811069178,-1.075301348,-1.628125965,0.4711,0.676085231
lo,ny,5,-0.47589031,0.734235025,0.011516315,-2.2845374,-1.076338242,-0.556450426,0.276828836,-0.96695817,0.932870674,-1.628125965,0.6643,0.589948898
lo,om,4,0.596101316,-0.03596899,0.001919386,-2.197495376,-1.076338242,-0.503351312,0.276828836,-0.18070899,0.382832805,-1.628125965,0.6643,1.590962734
lo,pa,5,-0.47589031,0.734235025,0.001919386,0.448880641,-1.076338242,1.111043841,0.276828836,0.044852683,-0.414072485,-1.628125965,0.5167,-0.534725345
lo,pl,4,0.596101316,-0.03596899,0,0.632419405,-1.076338242,1.223009824,0.276828836,-1.960138078,-1.003739196,0.61394371,0.4918,0.553546083
lo,pt,5,-0.47589031,0.734235025,0.001919386,0.632419405,-1.076338242,1.223009824,0.276828836,-1.467802522,-1.462535139,-1.628125965,0.4493,0.802894082
lo,ro,4,0.596101316,-0.03596899,0.001919386,0.632419405,-1.076338242,1.223009824,0.276828836,-1.083661913,-0.806234466,0.624956681,0.4772,0.503298821
lo,ru,3,1.016241847,-1.399947409,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.717956765,-0.199894481,0.61394371,0.5567,-0.041138564
lo,sn,5,-0.47589031,0.734235025,0.013435701,-1.570983707,-1.076338242,-0.121154151,0.276828836,-0.533644174,-0.740096134,-1.628125965,0.5124,0.643591744
lo,so,5,-0.47589031,0.734235025,0.011516315,-0.990919845,-1.076338242,0.232707992,0.276828836,-0.616587052,-0.237882712,0.591554152,0.5582,0.276379527
lo,es,4,0.596101316,-0.03596899,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.447603694,-0.134063171,0.602855577,0.5421,0.783851173
lo,sw,4,0.596101316,-0.03596899,0.005758157,0.632419405,-1.076338242,1.223009824,0.276828836,-0.18070899,0.382832805,-1.628125965,0.6643,1.590962734
