Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
bos,zho,1.8,,,,,,,,,,,,,,,,0.4,1,0.624,0.61,0.5687,0.8
ces,ara,1.9,67131,0.130947846,0.002684125,0.120009794,0.002782175,138522,5625,129886,5517,15.75786149,16.12213433,1057841,2095655,1082295,1982981,1,1,0.6784,0.66,0.0002,0.7
ces,bul,7.8,79005,0.127294512,0.002501123,0.100140048,0.002594798,145872,5650,125418,5778,14.50466426,15.85249035,1145941,2258985,1252426,2226763,0.1,0.5714,0.4507,0.55,0.6162,0.5
ces,bos,3.7,43380,0.168397329,0.004475142,0.176581936,0.004527212,102216,5403,107279,5340,13.99246196,14.00486399,606993,1207336,607531,1179534,0,0.5714,0.6784,0.46,0.0002,0.7
ces,dan,7.1,75869,0.129308632,0.002556025,0.10527154,0.002851953,144498,5638,123605,5632,14.72888795,15.4760706,1117466,2205769,1174154,1974787,0,0.8571,0.6784,0.57,0.0002,0.7
ces,deu,8.3,233859,0.088120053,0.000963424,0.076253773,0.00104879,312634,6463,292835,6975,15.17076101,16.42130087,3547819,6708367,3840269,6650523,0,0.8571,0.4728,0.55,0.5456,0.5
ces,ell,6.4,70243,0.129089007,0.002680063,0.098484873,0.002324939,137439,5618,123463,5536,15.15715445,17.84695984,1064684,2096219,1253624,2381138,0.1,0.8333,0.502,0.59,0.5922,0.6
ces,eng,20,519194,0.05817581,0.000441103,0.03168551,0.000501897,565521,8186,348426,8612,18.7230515,21.17971895,9720896,18558010,10996383,17158901,0.1,0.9,0.5368,0.66,0.5687,0.6
ces,epo,10.4,75647,0.127151006,0.002409821,0.101731625,0.002593201,150367,5655,133913,5659,15.63295306,17.40103375,1182586,2346647,1316336,2182245,0,1,0.6784,0.58,0.0002,0.7
ces,spa,12.6,181522,0.094636038,0.001114856,0.051338787,0.001155488,276149,6231,181624,6362,16.07524708,19.48939522,2918011,5589061,3537754,5505900,0.1,0.9231,0.5431,0.62,0.5922,0.6
ces,fra,11.4,185766,0.093659736,0.001113329,0.049015293,0.001156435,271596,6212,176296,6790,15.61004705,19.3617508,2899816,5579660,3596755,5871494,0,0.9375,0.4713,0.64,0.5456,0.6
ces,fra,8.6,,,,,,,,,,,,,,,,0,0.9375,0.4713,0.64,0.5456,0.6
ces,glg,5,54156,0.153511901,0.003386333,0.092991134,0.003645374,125027,5524,87118,5523,15.03886919,17.29895118,814445,1631263,936842,1515071,0.1,0.8571,0.5197,0.55,0.0002,0.5
ces,heb,2.5,72677,0.130208477,0.002931944,0.12336869,0.002986848,132509,5624,122986,5546,14.00261431,13.71682926,1017668,1918181,996898,1856807,0.1,1,0.5584,0.62,0.0002,0.6
ces,hrv,6.5,63902,0.138137053,0.002994355,0.138869626,0.003024132,130379,5574,134573,5667,14.77008544,15.16478357,943838,1861503,969060,1873926,0,0.5714,0.3539,0.74,0.0002,0.5
ces,hun,4.9,105871,0.118131701,0.001965358,0.140968925,0.002041958,178239,5832,208560,5828,14.25145696,13.9743178,1508816,2967398,1479475,2854124,0,1,0.4169,0.59,0.5922,0.5
ces,ind,7.8,78669,0.123325205,0.002270271,0.072671,0.002607004,160821,5723,99485,5879,16.57628799,17.40174656,1304040,2520844,1368978,2255079,0.5,1,0.4724,0.72,0.5687,0.6
